timestamp,location_lat,location_long
2019-07-15,53.4454576,10.1276701
2019-07-16,53.4580316,10.1061873
2019-07-17,53.453733299999996,10.133612199999998
2019-07-18,53.4450605,10.1288459
2019-07-19,53.4545485,10.131462800000001
2019-07-20,53.4541465,10.133803599999998
2019-07-21,53.452039899999995,10.1273695
2019-07-22,53.4498281,10.1284348
2019-07-23,53.4523868,10.126510000000001
2019-07-24,53.452970400000005,10.131998300000001
2019-07-25,53.45958589999999,10.1158189
2019-07-26,53.4593312,10.1151257
2019-07-27,53.45406800000001,10.111039300000002
2019-07-28,53.45657190000001,10.1245686
2019-07-29,53.44550110000001,10.1276925
2019-07-30,53.45507679999999,10.136396000000001
2019-07-31,53.455344499999995,10.121466
2019-08-01,53.4553666,10.1136241
2019-08-02,53.45242729999999,10.1288908
2019-08-03,53.4455157,10.1277007
2019-08-04,53.44551479999999,10.1277292
2019-08-05,53.454214,10.140393699999999
2019-08-06,53.445508600000004,10.1277151
2019-08-07,53.445525,10.1276609
2019-08-08,53.4474671,10.126401300000001
2019-08-09,53.4542431,10.1403767
2019-08-10,53.445521400000004,10.127726199999998
2019-08-11,53.44556729999999,10.1276802
2019-08-12,53.445588,10.127666
2019-08-13,53.4454691,10.127670599999998
2019-08-14,53.44550649999999,10.1276744
2019-08-15,53.4455519,10.127709699999999
2019-08-16,53.4455132,10.1276034
2019-08-17,53.445516500000004,10.1277123
2019-08-18,53.44552660000001,10.127726199999998
2019-08-19,53.4455905,10.1276996
2019-08-20,53.44551920000001,10.127667
2019-08-21,53.4455421,10.1277151
2019-08-22,53.445564000000005,10.127657899999999
2019-08-23,53.4455733,10.1277306
2019-08-24,53.445550100000006,10.1276507
2019-08-25,53.4456152,10.1277095
2019-08-26,53.445594400000004,10.127678
2019-08-27,53.4455159,10.127675300000002
2019-08-28,53.44556529999999,10.127687
2019-08-29,53.4454902,10.1276837
2019-08-30,51.8697971,11.2295091
2019-08-31,51.2667874,13.5673893
2019-09-01,50.319954700000004,17.2623068
2019-09-02,50.3230601,17.2604174
2019-09-03,48.1271035,19.1040057
2019-09-04,45.8227057,21.7328103
2019-09-05,43.912740500000005,23.8783492
2019-09-06,42.3473839,25.5380288
2019-09-07,39.9562939,28.203138399999997
2019-09-08,38.3533316,32.0113727
2019-09-09,36.9087684,35.142531
2019-09-10,34.4769956,36.6880738
2019-09-11,32.9285864,35.8594532
2019-09-12,32.0356005,35.4982268
2019-09-13,29.047952000000002,33.3247933
2019-09-14,25.5414492,32.5896336
2019-09-15,22.6634359,32.0879524
2019-09-16,20.2863784,29.870407899999996
2019-09-17,17.1903193,26.7478153
2019-09-18,14.8673199,23.7093037
2019-09-19,14.6948455,20.7776016
2019-09-20,14.6936122,20.7781118
2019-09-21,14.693596,20.778072199999997
2019-09-22,14.721305800000001,20.7980398
2019-09-23,14.6935884,20.7781174
2019-09-24,14.666973,20.7118164
2019-09-25,14.3966299,20.492474899999998
2019-09-26,14.3596019,20.2504591
2019-09-27,14.356501399999999,20.2854497
2019-09-28,14.3848524,20.4362157
2019-09-29,14.3909577,20.4470393
2019-09-30,14.375948000000001,20.454316
2019-10-01,14.375943300000001,20.454286800000002
2019-10-02,14.3760009,20.4542789
2019-10-03,14.366713399999998,20.424554
2019-10-04,14.3700831,20.436054199999997
2019-10-05,14.3677424,20.424829000000003
2019-10-06,14.366981099999999,20.4249152
2019-10-07,14.368715099999998,20.4371438
2019-10-08,14.3673895,20.424750699999997
2019-10-09,14.3670797,20.4247441
2019-10-10,14.3670908,20.4247193
2019-10-11,14.365689000000001,20.4238671
2019-10-12,14.3671579,20.4246437
2019-10-13,14.367162900000002,20.4246608
2019-10-14,14.3525742,20.4227622
2019-10-15,14.627015599999998,19.698935600000002
2019-10-16,14.6057807,19.680936300000003
2019-10-17,14.7939714,19.3863755
2019-10-18,14.775014800000001,19.3886736
2019-10-19,14.571652599999998,19.437204100000002
2019-10-20,14.5716359,19.4372203
2019-10-21,14.5716494,19.437202300000003
2019-10-22,14.571698999999999,19.437246
2019-10-23,14.3201255,19.2575718
2019-10-24,14.339533800000002,19.2530365
2019-10-25,14.323728,19.2517879
2019-10-26,13.8066845,18.592719199999998
2019-10-27,13.720947199999998,18.3639082
2019-10-28,13.556618400000001,18.8277534
2019-10-29,13.8176595,18.6226358
2019-10-30,13.6409359,18.9811243
2019-10-31,13.7109138,19.253456
2019-11-01,13.708685000000001,19.2495018
2019-11-02,13.7117532,19.2527628
2019-11-03,13.7092284,19.249848999999998
2019-11-04,13.7090614,19.2496402
2019-11-05,13.711394699999998,19.2512407
2019-11-06,13.712674599999998,19.254082399999998
2019-11-07,13.7126223,19.2538177
2019-11-08,13.712624599999998,19.2536515
2019-11-09,13.711740300000002,19.2519074
2019-11-10,13.263357999999998,20.3615505
2019-11-11,12.276565199999999,20.7858137
2019-11-12,11.602677400000001,22.1498138
2019-11-13,10.892695,23.565918399999997
2019-11-14,11.5094965,25.0228408
2019-11-15,11.2285302,25.0378451
2019-11-16,10.7342799,26.2545912
2019-11-17,11.246437,26.579342200000003
2019-11-18,11.0022495,26.738400300000002
2019-11-19,11.1263648,26.605988399999998
2019-11-20,10.8472612,26.5930261
2019-11-21,11.7486359,26.092933300000002
2019-11-22,11.9032088,25.804819100000003
2019-11-23,11.9544156,25.8107109
2019-11-24,11.979937699999999,25.2777771
2019-11-25,11.3302392,26.6066479
2019-11-26,11.316171699999998,26.604734499999996
2019-11-27,11.0724871,26.9734849
2019-11-28,10.138850900000001,28.079462300000003
2019-11-29,10.68748,29.224280199999995
